Tract,AccessCare,Arthritis,BingeEat,BPHigh,BPMed,Cancer,ChildAsthma,CHD,Checkup,CholesterolScreen,ColonScreen,COPD,CorePreventionMen,CorePreventionWomen,Smoking,Dental,Diabetes,HighCholesterol,CKD,LPA,Mammography,MentalHealth,Obesity,PapTest,PersonalHealth,Sleep,Stroke,TeethLost
4876000,27.4,20.9,17.1,34,71.3,5.4,9.7,6.2,66.6,73.2,58.8,6.7,29.7,25.4,19.9,54,12.1,32.7,3.3,35.4,75.5,16.6,36.7,80.3,14,34.8,3.5,18.1
4879000,22.4,25.2,18,33.4,74,5.9,9,6.4,68.8,77,60.6,6.7,30.4,31.5,19.6,59.4,11.7,33.9,3,34.1,77,14.6,37.5,80.7,13.4,38.2,3.2,14.6
4943660,13.8,20.4,11.5,24,66.1,5.3,9.1,4.1,61.5,72.1,70.1,4.1,36.5,32.3,11.2,74.4,7.5,29.2,2.3,20.9,75.4,12.4,27.5,78.8,10.5,31.4,2.1,11.1
4955980,21.7,22.9,11.7,28.7,67.1,5.3,10,5.3,60.1,67.7,63,5.4,28.9,30,14.7,64.8,9,28.7,3,26.2,73.8,15.6,33.8,77,14,34.2,2.9,17
4957300,15.3,16.2,7.8,19.6,64.8,5.1,8.7,4,55.8,65.8,67.6,4,32.9,28.1,7.9,71.5,6.5,27.6,2.5,20.9,74.9,12.4,25.4,75.9,10,30.4,2.2,11.7
4962470,16.7,11.4,7.9,15,53.9,3.4,9.4,2.7,52,54.5,66.8,3.4,33.7,28.5,8.4,65.3,4.6,22.3,2.1,21.4,75.1,15.6,24.6,73,9.3,30.9,1.6,10.8
4965330,15.5,23.9,9.7,28.2,74.7,7.9,9.2,6.7,62.7,72.1,69.4,5.7,36.4,27.9,10.2,71.2,9.2,34.4,3.3,23.5,72.5,12.4,25,78.8,12.1,30.8,3.3,12.3
4967000,17.3,16.7,15,23.1,63.4,5.2,9.3,4.2,59.2,68.6,67.5,4,34.1,32.4,10.8,68.5,7.2,27.5,2.6,22.5,78.2,12.4,26.1,79.2,10.4,30.4,2.2,11.3
4967440,11.9,19.2,15.4,24.2,66.2,6.1,9.2,4.1,61.5,74.4,72.4,4.1,36.7,36,9.9,76.6,6.9,29.5,2.4,19.9,78.6,11.1,24.8,79.7,9.8,29.1,2.2,8.4
4982950,16.4,15.9,16.6,21.1,59,4.6,9.6,3.3,57.9,68.8,67.8,3.8,34,34.1,12.2,71.4,6.2,25.9,2.2,22.1,77.5,12.9,26.5,78.9,10.1,31.4,1.9,10.1
4983470,23.6,17.9,14.3,24.8,62.5,4.8,9.9,4.6,58.6,66.6,62.4,5,29.1,28.9,14.1,61.4,8.6,28.8,2.8,27.8,75.9,14.6,29.4,76.6,12.8,33.4,2.6,16.7
5010675,9.9,16.9,20.8,19.9,63.2,4.7,11.3,4.2,61,66.8,68.8,4.8,39,31.5,14.9,70.5,5.5,22.7,2.2,18.3,78.2,15,23.5,,9.4,28.6,2,13.3
5101000,12.9,19,19.7,25.1,69.6,5.2,8.8,3.7,69,80.5,72.4,4.3,44.2,40.5,14.4,71,7.6,28.5,2.2,21.6,82.9,11,27.7,86.7,9.1,31.9,2.1,9
5116000,12.8,25.3,17.1,33.3,76,6.2,10,5,75.4,81.7,71.8,6.3,45,35.4,17.5,72.5,10.7,32.9,2.8,26.6,82.3,12.8,35.6,86,11.4,38.1,2.9,13
5135000,15,26.3,16.4,34.8,76.3,6,11,5.8,75.9,80.2,67.8,7,34.3,32.7,21.4,66.3,13,32.3,3.2,28.9,83.7,13.7,38.6,85.6,12.6,43,3.6,17.1
5147672,14.8,23.8,16.7,32.3,74.6,6.1,10.5,5.9,71.5,74.9,64,7.2,36.4,32.6,19,66.2,10.7,32.2,3.1,28.5,81.7,15,34.2,84.4,12.4,36.4,3.3,16.7
5156000,16.1,24.8,18.2,32.6,74.2,5.6,10.4,5.4,72.8,77.7,65.7,6.7,36,34.3,20.6,64.5,11.4,31.3,3,28.5,81.3,14.1,34.9,85.1,12.5,38.1,3.2,16
5157000,16.2,21.4,19.4,32.1,70.6,5,10.6,4.9,72.4,74.5,64.9,6.2,33.4,32.6,19.9,62.3,10.9,29.4,2.9,27.6,83.4,14.3,33.5,84.3,11.5,41.2,3.1,17.3
5164000,16.4,26.5,15.2,37.3,76.3,6.3,10.8,6.2,76.6,79.5,68.3,7.6,36.9,33.7,21.5,60.5,13.4,33.5,3.4,30.6,83.7,14.1,39,86.3,13.5,44.8,4,19
5167000,16.9,20.9,19.3,33,75.5,5.3,10.8,5.6,71.4,76.1,63.4,7,31.5,33.6,20.1,62.2,12.2,29.8,3.3,28.3,84.1,14.8,33.6,83.8,13,38.7,3.7,18.9
5168000,16.5,28.9,15.9,38.1,76.4,6.9,10.4,7,73.8,79.1,67.1,8.8,39.3,34.2,22.7,60.5,12.5,35.4,3.5,33.3,82.7,15.1,36.3,85.3,14.9,39.4,4,18.1
5176432,14.3,26,16.1,35.6,75.4,6.3,10.3,5.7,75.5,81.4,65.9,7,40.8,33.3,19.9,67.4,11.9,33.6,3,28.3,82.9,13.1,34.3,85.2,12.7,41.4,3.4,15.3
5182000,12.6,21.9,19.6,27.2,72.6,6,9.1,4.6,71.6,80,72.2,5.6,43.9,42.6,17.3,74,8.8,32.1,2.5,23.4,82.2,11.9,28.4,82.6,10.2,37.5,2.4,9.9
5303180,12.2,22.1,17.5,26.1,63.9,6,10.3,5.1,62.1,76.1,63.4,6.1,38.2,33,15.4,64.5,8.3,29.7,2.9,19.5,76.1,14.8,25.3,,12.6,32.7,2.9,13.6
5305210,7.7,19.1,16.1,23.1,66,6.5,8.1,4.1,64.4,81.7,70.8,3.7,45.2,39.7,8.4,76.7,6.8,28.7,2.4,13.6,78.4,9.5,18,,8.4,28.5,2.2,5.9
5305280,9.8,20.2,20.4,24.7,68.3,5.9,10.7,4.8,62.7,72.1,69.1,5.4,43.2,29.6,15.2,63.7,7.4,28.8,2.7,17.3,71.8,14.6,29.1,,11,30.1,2.5,12.1
5322640,12.6,21.9,18,29.8,65.1,5.9,10.3,5.1,60.1,75.7,60.3,6.1,33.8,29.8,18,60.2,8.9,29.9,2.9,22.7,72.4,14.4,31.3,,13.4,37.6,2.8,14.1
5323515,12.6,21.2,16.5,26.2,64.6,5.8,9.9,4.9,63.2,77.2,63.4,5.5,38.4,33.3,13.9,65,8.7,29.6,2.9,19.2,76.7,14,24.2,,12.1,32.8,2.9,11.6
5335275,14.3,23.4,17,29,68.2,6.3,10.6,5.6,61.3,74.3,63.2,6.8,29.8,29.7,17.7,63.2,9,33.1,3.1,22.8,74.3,15.2,33.4,,14,33.7,3.1,16
5335415,14.2,20.4,16.6,25.6,62.5,5.4,10.2,4.8,61.9,75.1,61.7,5.7,37.6,32.6,15.5,62.1,8.6,28.8,2.9,20.3,76.4,15,25.1,,12.6,33.6,2.9,12.8
5357745,11.2,19.1,16.7,24.2,63.4,5.5,9.3,4.2,62.9,78,65.3,4.6,39.9,35.1,12.4,68.2,7.8,28,2.6,17.4,77.3,12.5,22.2,,10.5,32.2,2.5,9.7
5363000,8.3,17.7,18.5,22,62.5,5.6,9.1,3.7,61.9,78,69,3.8,41.9,36.5,10.2,73.2,6.5,26.5,2.4,14.3,78.9,11.5,20.8,,8.9,29.4,2.2,7.5
5367000,10.5,24.1,16.4,28.4,70.5,6.8,11.2,5.9,62.2,75.8,65.1,6.9,36.4,33.6,18.3,60.9,8.8,31.6,3.1,22.1,79.7,15.3,29.3,,13.5,32.4,3.2,17.5
5367167,9.9,25.4,16.5,29.3,71.7,7.3,11,6.1,63.1,78,66.8,6.9,37.3,34.9,17.6,63.9,8.8,32.6,3.1,21.5,79.4,14.4,28.9,,13.3,31.8,3.2,15.8
