ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA33442,0.001401185,28846,1.49,0.66,0.21,1.56,3.43,6.69,0.87,1.49,0.00,0.00,0.03,0.10,1.18,9.12,4.13,0.07
ZCTA33325,0.001408034,28987,0.48,0.14,0.00,0.66,1.00,2.00,0.76,0.79,0.00,0.00,0.03,0.14,0.17,1.72,2.62,0.00
ZCTA33168,0.001412163,29072,0.69,0.14,0.10,2.13,0.72,2.17,0.55,0.89,0.00,0.07,0.31,0.24,0.17,2.85,3.37,0.00
ZCTA32539,0.001421538,29265,0.82,0.17,0.14,1.40,1.50,4.75,0.72,1.33,0.00,0.00,0.17,0.17,0.55,4.85,3.25,0.21
ZCTA33917,0.001429990,29439,1.36,0.75,0.24,2.89,2.65,7.57,2.17,0.48,0.00,0.00,0.03,0.20,1.12,7.68,7.03,0.00
ZCTA33334,0.001431884,29478,0.61,0.31,0.10,0.58,1.05,2.92,1.46,0.51,0.00,0.00,0.20,0.00,0.27,3.15,4.14,0.00
ZCTA32205,0.001432904,29499,1.02,0.31,0.17,1.39,1.19,4.64,1.08,0.81,0.00,0.00,0.27,0.20,0.44,5.93,5.63,0.24
ZCTA32086,0.001436256,29568,1.32,0.34,0.20,1.59,2.30,6.22,1.29,1.08,0.00,0.03,0.20,0.17,0.34,10.28,4.33,0.00
ZCTA33803,0.001441454,29675,0.98,0.34,0.20,1.58,1.89,7.04,1.15,0.84,0.00,0.07,0.30,0.07,0.78,8.80,3.17,0.17
ZCTA32779,0.001444465,29737,0.87,0.37,0.13,1.14,2.32,3.56,0.61,0.50,0.00,0.00,0.07,0.10,0.30,4.00,2.62,0.03
ZCTA33150,0.001449420,29839,0.84,0.30,0.20,2.31,0.84,3.45,0.57,0.74,0.00,0.03,0.27,0.47,0.27,3.42,4.42,0.07
ZCTA33138,0.001450780,29867,0.64,0.13,0.03,1.71,1.21,2.28,0.67,0.67,0.00,0.00,0.13,0.30,0.40,2.81,2.68,0.03
ZCTA33626,0.001455492,29964,0.73,0.17,0.07,0.37,1.90,2.00,0.33,0.33,0.00,0.00,0.07,0.07,0.93,3.34,2.17,0.03
ZCTA33596,0.001457969,30015,0.67,0.10,0.10,0.80,1.87,2.47,0.53,0.17,0.00,0.00,0.00,0.13,0.40,3.50,2.87,0.00
ZCTA34990,0.001462146,30101,0.70,0.43,0.07,0.83,4.58,5.08,0.60,0.50,0.00,0.00,0.03,0.03,0.56,6.94,3.52,0.03
ZCTA32159,0.001463798,30135,1.83,0.83,0.20,3.55,5.01,9.09,1.99,1.26,0.00,0.00,0.13,0.23,0.80,14.47,9.29,0.03
ZCTA33809,0.001463895,30137,1.66,0.40,0.20,1.36,2.42,7.33,1.29,0.90,0.00,0.00,0.13,0.17,0.93,8.06,3.52,0.00
ZCTA32221,0.001468267,30227,1.09,0.26,0.07,1.42,1.09,4.10,0.60,0.69,0.00,0.03,0.20,0.03,0.17,4.66,4.43,0.17
ZCTA33144,0.001468655,30235,0.89,0.17,0.13,1.12,4.66,4.96,0.73,0.89,0.00,0.00,0.23,0.07,0.26,5.75,2.18,0.00
ZCTA34231,0.001470210,30267,1.29,0.63,0.17,1.39,6.08,7.93,1.62,0.93,0.00,0.00,0.03,0.13,1.82,11.96,5.68,0.03
ZCTA33771,0.001474047,30346,1.65,0.49,0.13,3.00,3.59,7.84,1.45,1.22,0.00,0.00,0.16,0.20,8.30,8.30,5.73,0.03
ZCTA32127,0.001477399,30415,1.91,0.53,0.16,1.91,4.96,8.32,1.32,0.72,0.00,0.00,0.16,0.10,0.69,7.56,5.00,0.00
ZCTA33702,0.001484539,30562,1.18,0.23,0.07,2.16,1.93,5.66,1.44,0.88,0.00,0.03,0.26,0.10,4.32,5.60,5.33,0.03
ZCTA32607,0.001487551,30624,0.39,0.10,0.13,1.14,1.31,2.09,0.46,0.39,0.00,0.00,0.69,0.20,0.98,4.70,2.25,0.07
ZCTA32301,0.001491826,30712,0.52,0.07,0.10,0.94,1.01,2.34,0.59,0.20,0.00,0.00,0.26,0.33,0.49,4.85,2.54,0.20
ZCTA34772,0.001493477,30746,0.72,0.16,0.07,0.88,1.53,3.06,0.20,0.94,0.00,0.00,0.13,0.07,0.33,2.73,2.86,0.03
ZCTA33919,0.001494351,30764,0.81,0.46,0.07,1.69,2.89,5.10,1.33,0.46,0.00,0.00,0.03,0.03,0.98,8.16,5.17,0.00
ZCTA32570,0.001494546,30768,1.27,0.46,0.10,1.63,3.51,7.28,0.88,2.08,0.00,0.03,0.23,0.23,1.56,7.12,3.80,0.07
ZCTA32909,0.001496003,30798,1.01,0.19,0.03,1.30,1.95,4.09,1.30,0.55,0.00,0.00,0.29,0.03,0.36,5.71,3.67,0.00
ZCTA32082,0.001500860,30898,0.78,0.42,0.10,0.78,1.94,3.62,0.81,0.55,0.00,0.00,0.00,0.03,0.49,7.44,3.79,0.00
ZCTA33407,0.001502318,30928,0.91,0.00,0.03,1.26,1.29,3.36,0.91,0.97,0.00,0.00,0.45,0.26,0.26,4.17,7.21,0.03
ZCTA32773,0.001503629,30955,1.13,0.29,0.03,1.20,0.71,3.88,0.42,0.39,0.00,0.03,0.16,0.06,0.16,3.26,3.42,0.10
ZCTA34142,0.001503629,30955,0.58,0.13,0.10,1.20,0.23,0.97,0.61,0.29,0.00,0.06,0.29,0.26,0.36,1.52,2.49,0.03
ZCTA33185,0.001503824,30959,0.48,0.16,0.03,0.90,2.65,1.39,0.32,0.39,0.00,0.00,0.19,0.03,0.19,2.81,1.71,0.00
ZCTA33026,0.001508001,31045,0.64,0.32,0.03,1.16,1.77,3.32,0.48,0.48,0.00,0.00,0.06,0.10,0.03,2.96,2.58,0.03
ZCTA32904,0.001515821,31206,1.09,0.42,0.13,1.47,2.82,6.79,1.09,1.03,0.00,0.00,0.06,0.10,0.48,8.52,4.58,0.03
ZCTA32507,0.001519805,31288,0.99,0.29,0.10,1.53,1.98,5.21,1.18,0.77,0.00,0.00,0.22,0.03,1.15,6.30,3.87,0.06
ZCTA33145,0.001528402,31465,0.70,0.29,0.06,1.49,4.00,2.83,0.41,0.73,0.00,0.00,0.00,0.10,0.13,4.80,1.84,0.00
ZCTA33909,0.001528499,31467,0.41,0.16,0.06,0.83,1.18,2.92,0.67,0.16,0.03,0.00,0.06,0.10,0.25,2.99,3.46,0.00
ZCTA32309,0.001535446,31610,0.66,0.19,0.13,0.57,2.28,2.50,0.28,0.66,0.00,0.03,0.13,0.13,0.51,6.01,2.25,0.03
ZCTA34119,0.001536514,31632,0.38,0.22,0.06,0.92,2.59,2.43,0.76,0.28,0.00,0.00,0.06,0.13,0.60,3.32,3.03,0.03
ZCTA34472,0.001536514,31632,0.73,0.25,0.00,1.74,2.81,3.86,0.70,0.63,0.00,0.03,0.51,0.03,0.82,4.20,4.84,0.09
ZCTA33611,0.001544238,31791,1.38,0.19,0.06,0.75,1.95,4.25,0.72,0.47,0.00,0.00,0.13,0.06,0.88,6.04,4.18,0.03
ZCTA32720,0.001545598,31819,2.20,0.63,0.09,2.01,5.37,7.83,1.32,1.51,0.00,0.00,0.00,0.19,0.88,7.67,4.59,0.06
ZCTA33904,0.001547541,31859,0.72,0.38,0.13,2.13,2.61,5.87,1.63,0.41,0.00,0.00,0.06,0.16,1.57,8.35,6.03,0.03
ZCTA33180,0.001548707,31883,0.78,0.56,0.03,0.94,2.57,3.83,0.25,0.94,0.00,0.00,0.00,0.09,0.35,5.18,2.54,0.00
ZCTA32258,0.001553904,31990,0.50,0.09,0.03,0.78,0.97,2.25,0.38,0.41,0.00,0.06,0.13,0.06,0.38,4.38,2.78,0.00
ZCTA32277,0.001555798,32029,1.06,0.16,0.16,1.19,0.72,3.09,0.56,0.50,0.00,0.00,0.72,0.09,0.34,4.09,3.78,0.12
ZCTA33054,0.001556090,32035,0.56,0.09,0.16,3.15,0.75,3.00,0.62,0.66,0.00,0.00,0.37,0.09,0.34,3.37,4.09,0.09
ZCTA32405,0.001557499,32064,1.78,2.18,0.00,2.65,3.34,6.71,1.28,0.87,0.00,0.00,0.12,0.16,0.34,5.30,3.93,0.16
ZCTA33884,0.001557741,32069,1.65,0.22,0.09,1.72,3.24,6.05,0.97,0.75,0.00,0.00,0.28,0.12,0.56,8.29,3.37,0.06
ZCTA33823,0.001561142,32139,1.40,0.19,0.12,1.65,2.33,6.63,1.18,0.56,0.00,0.00,0.31,0.16,0.47,6.41,4.26,0.19
ZCTA32208,0.001563813,32194,2.55,0.19,0.12,2.70,0.87,5.84,1.21,1.52,0.00,0.03,0.50,0.19,0.62,7.61,6.12,0.16
ZCTA33143,0.001563959,32197,0.40,0.22,0.03,0.81,2.24,1.99,0.43,0.53,0.00,0.00,0.06,0.09,0.28,3.14,2.30,0.03
ZCTA34243,0.001565805,32235,0.74,0.59,0.09,1.12,2.67,4.28,1.02,0.81,0.00,0.00,0.03,0.19,1.02,5.74,4.06,0.00
ZCTA34266,0.001566339,32246,0.96,0.22,0.03,1.80,1.49,4.93,0.96,0.87,0.00,0.03,0.22,0.09,0.53,5.02,3.69,0.06
ZCTA33445,0.001567068,32261,0.99,0.62,0.06,0.93,4.09,5.11,1.05,1.24,0.00,0.00,0.00,0.15,0.62,7.63,4.68,0.00
ZCTA33173,0.001569302,32307,1.27,0.22,0.09,1.49,4.55,3.84,0.84,0.80,0.00,0.00,0.00,0.12,0.31,5.97,2.54,0.00
ZCTA33713,0.001571391,32350,0.80,0.25,0.09,2.10,1.24,4.54,1.30,0.87,0.00,0.03,0.25,0.22,2.78,4.17,4.61,0.00
ZCTA34120,0.001578774,32502,0.34,0.18,0.06,0.71,1.32,1.72,0.68,0.18,0.00,0.00,0.09,0.12,0.46,2.15,2.71,0.00
ZCTA34205,0.001580329,32534,1.23,0.46,0.09,1.78,4.40,7.13,1.08,1.41,0.00,0.00,0.22,0.06,1.38,6.61,7.25,0.03
ZCTA33460,0.001587809,32688,0.89,0.28,0.06,1.19,1.41,3.46,1.44,0.55,0.00,0.00,0.28,0.15,0.28,4.83,5.97,0.06
ZCTA32578,0.001594852,32833,1.04,0.37,0.12,0.82,2.65,4.48,0.70,1.19,0.00,0.00,0.12,0.06,0.79,6.03,4.08,0.06
ZCTA32312,0.001596358,32864,0.76,0.15,0.09,0.55,1.83,2.22,0.52,0.33,0.00,0.06,0.06,0.12,0.55,5.45,2.22,0.00
ZCTA33990,0.001598156,32901,0.52,0.27,0.12,1.64,1.79,3.53,1.19,0.27,0.00,0.03,0.09,0.15,0.70,4.92,3.89,0.03
ZCTA32114,0.001599224,32923,2.19,0.24,0.30,3.43,3.16,7.26,1.70,1.37,0.00,0.03,0.12,0.21,0.76,9.29,5.71,0.21
ZCTA33326,0.001600341,32946,0.15,0.21,0.03,0.30,1.55,1.82,0.30,0.30,0.00,0.03,0.09,0.12,0.24,1.76,1.58,0.00
ZCTA33013,0.001601993,32980,0.79,0.24,0.00,2.24,3.73,5.67,0.94,0.91,0.00,0.00,0.06,0.06,0.42,5.00,2.94,0.00
ZCTA34683,0.001610834,33162,0.57,0.21,0.03,0.78,2.89,2.77,0.90,0.57,0.00,0.00,0.03,0.06,3.29,3.74,3.50,0.03
ZCTA33462,0.001611368,33173,1.30,0.24,0.09,1.15,3.47,5.49,1.24,0.90,0.00,0.00,0.21,0.24,0.36,7.11,4.91,0.03
ZCTA33417,0.001616905,33287,1.50,0.45,0.03,2.07,4.27,6.43,1.17,1.29,0.00,0.03,0.24,0.27,0.39,8.23,4.48,0.06
ZCTA32547,0.001619431,33339,0.90,0.42,0.21,1.74,2.37,5.40,1.44,1.02,0.00,0.00,0.18,0.12,0.87,7.20,3.99,0.12
ZCTA33881,0.001625455,33463,2.09,0.36,0.30,2.39,3.32,8.37,1.29,1.52,0.00,0.00,0.33,0.27,0.84,8.61,4.15,0.09
ZCTA33127,0.001625503,33464,0.93,0.18,0.06,2.42,0.81,2.84,0.96,1.05,0.00,0.03,0.21,0.18,0.45,4.09,3.77,0.15
ZCTA33756,0.001634489,33649,1.43,0.36,0.09,2.26,1.99,5.80,0.80,0.77,0.00,0.03,0.33,0.15,7.43,5.71,4.84,0.09
ZCTA33952,0.001635121,33662,2.73,0.45,0.18,2.26,3.51,10.69,1.87,1.43,0.00,0.00,0.18,0.03,0.95,9.03,3.65,0.06
ZCTA33409,0.001645467,33875,0.62,0.15,0.06,0.77,1.59,2.10,0.41,0.47,0.00,0.03,0.27,0.00,0.21,3.34,3.34,0.06
ZCTA33710,0.001645856,33883,1.06,0.27,0.06,2.04,2.98,6.05,1.27,1.18,0.00,0.00,0.09,0.09,5.81,6.26,4.69,0.06
ZCTA34667,0.001649596,33960,1.62,0.56,0.18,4.24,4.27,11.34,1.86,1.68,0.00,0.00,0.06,0.18,6.45,10.04,7.95,0.09
ZCTA33174,0.001652268,34015,0.71,0.21,0.18,1.44,3.35,3.56,0.68,0.71,0.00,0.00,0.06,0.00,0.24,3.97,1.79,0.00
ZCTA33156,0.001659651,34167,0.50,0.29,0.06,0.67,1.76,1.61,0.32,0.29,0.00,0.00,0.03,0.12,0.32,2.63,1.87,0.00
ZCTA33579,0.001664703,34271,0.32,0.03,0.03,0.58,0.85,1.81,0.38,0.23,0.00,0.00,0.26,0.00,0.18,2.36,2.39,0.00
ZCTA32807,0.001666403,34306,0.96,0.32,0.09,1.54,1.95,3.44,0.70,0.76,0.00,0.00,0.35,0.17,0.23,3.26,4.26,0.06
ZCTA33133,0.001673883,34460,0.73,0.20,0.17,1.42,2.00,2.93,0.58,0.87,0.00,0.03,0.20,0.09,0.46,4.18,2.64,0.03
ZCTA34608,0.001674661,34476,1.22,0.20,0.15,2.44,2.61,6.64,1.19,0.84,0.00,0.03,0.17,0.12,5.34,7.72,4.84,0.09
ZCTA32503,0.001676798,34520,1.22,0.64,0.14,1.27,3.91,4.32,0.75,1.22,0.00,0.00,0.26,0.09,0.70,6.49,3.42,0.17
ZCTA32211,0.001681024,34607,1.42,0.23,0.06,1.68,0.66,4.85,0.69,0.61,0.00,0.03,0.49,0.40,0.81,5.75,5.17,0.29
ZCTA34232,0.001682578,34639,1.13,0.46,0.03,0.87,3.23,5.28,1.01,1.21,0.00,0.00,0.00,0.32,1.21,7.71,4.04,0.09
ZCTA32092,0.001682724,34642,0.66,0.17,0.00,0.64,1.33,2.83,0.40,0.64,0.00,0.00,0.32,0.06,0.20,4.82,3.06,0.00
ZCTA33073,0.001683210,34652,0.38,0.14,0.03,0.32,1.13,1.90,0.26,0.26,0.00,0.00,0.03,0.17,0.38,2.60,2.02,0.00
ZCTA33040,0.001689622,34784,0.75,0.17,0.14,0.89,0.95,3.28,1.52,0.75,0.00,0.00,0.11,0.26,0.66,5.23,4.37,0.06
ZCTA34209,0.001690107,34794,1.47,0.49,0.20,1.32,6.38,6.67,1.29,1.44,0.00,0.00,0.03,0.20,1.87,9.60,5.69,0.00
ZCTA32084,0.001694868,34892,1.43,0.40,0.14,1.29,1.69,5.07,1.49,1.15,0.00,0.00,0.11,0.11,1.06,7.28,4.01,0.09
ZCTA32034,0.001696616,34928,0.83,0.49,0.00,0.69,1.43,4.95,1.15,0.66,0.00,0.00,0.11,0.11,0.40,9.39,4.44,0.00
ZCTA34785,0.001696859,34933,0.49,0.11,0.23,1.29,0.92,2.46,0.60,0.54,0.00,0.00,0.17,0.06,0.14,4.01,2.38,0.09
ZCTA33613,0.001697248,34941,1.32,0.31,0.14,1.14,1.86,5.04,0.77,0.63,0.00,0.03,0.40,0.17,1.12,6.01,4.15,0.14
ZCTA34653,0.001700842,35015,1.63,0.57,0.11,2.77,4.23,10.00,1.57,1.86,0.00,0.00,0.14,0.20,5.00,8.23,5.88,0.09
ZCTA32812,0.001705020,35101,0.63,0.17,0.03,0.97,1.45,2.93,0.71,0.88,0.00,0.00,0.17,0.11,0.48,3.53,3.16,0.03
ZCTA33844,0.001713715,35280,1.56,0.23,0.14,1.67,2.04,5.27,0.85,1.25,0.00,0.00,0.11,0.23,0.62,4.45,3.94,0.06
ZCTA33801,0.001714929,35305,1.05,0.14,0.03,2.01,1.05,8.13,1.16,0.65,0.00,0.00,0.11,0.17,0.31,6.09,4.79,0.11
ZCTA32817,0.001715512,35317,0.62,0.25,0.06,0.96,1.08,1.78,0.42,0.40,0.00,0.00,0.08,0.08,0.40,2.92,2.92,0.03
ZCTA32707,0.001718038,35369,0.79,0.23,0.00,1.64,2.12,4.72,0.79,0.76,0.00,0.00,0.06,0.00,0.34,4.55,3.73,0.14
ZCTA32571,0.001718961,35388,0.65,0.31,0.03,0.93,1.81,4.32,0.68,1.24,0.00,0.00,0.17,0.08,0.51,5.62,3.39,0.00
ZCTA32780,0.001719495,35399,1.10,0.23,0.03,1.86,2.20,7.49,1.53,0.93,0.00,0.00,0.23,0.17,0.42,9.80,5.96,0.03
ZCTA32209,0.001721292,35436,2.26,0.14,0.08,2.77,1.13,4.77,1.10,2.20,0.00,0.06,0.65,0.25,0.90,8.44,6.74,0.25
ZCTA33594,0.001722701,35465,0.85,0.11,0.00,1.18,1.41,3.64,0.73,0.45,0.00,0.00,0.08,0.17,0.56,4.57,3.38,0.03
ZCTA33351,0.001728336,35581,0.56,0.17,0.11,0.90,1.94,3.15,0.45,0.73,0.00,0.00,0.14,0.11,0.22,3.74,2.22,0.00
ZCTA33410,0.001729113,35597,0.62,0.45,0.03,0.84,2.58,5.06,0.76,0.62,0.00,0.03,0.00,0.03,0.42,6.29,4.38,0.00
ZCTA33030,0.001734165,35701,0.28,0.08,0.08,1.48,1.43,2.41,0.81,0.64,0.03,0.03,0.22,0.31,0.34,3.42,3.08,0.08
ZCTA32207,0.001744657,35917,1.14,0.14,0.17,1.70,1.00,4.90,1.09,0.81,0.00,0.08,0.14,0.19,0.67,6.21,4.59,0.00
ZCTA32724,0.001750972,36047,1.30,0.25,0.19,1.41,4.36,7.52,0.86,1.22,0.00,0.00,0.17,0.22,0.42,6.30,3.77,0.06
ZCTA33908,0.001752137,36071,0.91,0.64,0.19,1.58,4.21,6.99,1.52,0.44,0.00,0.00,0.08,0.11,0.94,11.28,6.51,0.03
ZCTA32526,0.001763261,36300,1.71,0.50,0.03,1.74,3.86,6.58,0.66,1.24,0.00,0.00,0.19,0.14,0.88,8.15,4.30,0.03
ZCTA33056,0.001768556,36409,0.80,0.14,0.19,2.22,1.10,2.64,0.49,1.10,0.00,0.00,0.25,0.16,0.41,2.75,3.63,0.14
ZCTA33435,0.001769236,36423,0.71,0.47,0.05,1.32,2.28,4.31,0.74,0.85,0.00,0.03,0.19,0.25,0.44,5.60,5.38,0.00
ZCTA32826,0.001771227,36464,0.38,0.05,0.05,0.52,0.58,1.45,0.33,0.49,0.00,0.00,0.08,0.08,0.22,1.73,1.18,0.00
ZCTA34116,0.001774482,36531,0.30,0.08,0.03,0.57,0.77,1.34,0.47,0.25,0.00,0.00,0.27,0.05,0.33,1.59,2.35,0.03
ZCTA33076,0.001777833,36600,0.33,0.27,0.14,0.27,1.15,1.56,0.19,0.36,0.00,0.00,0.00,0.03,0.25,1.94,2.02,0.00
ZCTA34207,0.001784537,36738,1.20,0.44,0.11,1.39,2.69,5.25,1.58,0.90,0.00,0.05,0.19,0.11,1.22,4.98,6.94,0.05
ZCTA32506,0.001793523,36923,1.08,0.38,0.03,1.76,2.17,5.61,1.00,1.71,0.00,0.05,0.33,0.22,0.95,6.88,4.04,0.14
ZCTA33905,0.001801198,37081,0.73,0.16,0.00,1.40,1.43,3.48,1.05,0.65,0.00,0.00,0.16,0.11,0.22,3.94,4.96,0.00
ZCTA32065,0.001805035,37160,0.89,0.19,0.00,1.02,0.97,2.53,0.46,0.38,0.00,0.03,0.13,0.27,0.22,3.88,3.69,0.05
ZCTA33060,0.001805424,37168,1.08,0.32,0.08,1.32,1.86,4.12,0.94,0.91,0.00,0.03,0.30,0.16,0.32,5.52,5.62,0.11
ZCTA33813,0.001807512,37211,0.99,0.43,0.11,1.34,1.83,5.19,0.59,0.51,0.00,0.03,0.21,0.11,0.30,6.02,2.58,0.03
ZCTA32714,0.001808095,37223,0.70,0.27,0.05,1.53,1.80,3.41,0.78,0.59,0.00,0.00,0.05,0.24,0.40,3.47,3.49,0.13
ZCTA33914,0.001815479,37375,0.54,0.43,0.11,1.82,1.82,4.15,1.44,0.16,0.00,0.00,0.11,0.05,0.51,5.30,3.69,0.00
ZCTA33183,0.001821745,37504,0.51,0.21,0.05,0.99,2.43,2.13,0.77,0.64,0.00,0.00,0.11,0.08,0.24,2.64,2.05,0.00
ZCTA34203,0.001827962,37632,1.36,0.27,0.08,1.59,2.76,5.13,0.77,1.09,0.00,0.03,0.21,0.16,1.09,5.26,4.86,0.03
ZCTA34293,0.001844332,37969,1.66,0.90,0.16,1.53,4.21,7.06,1.45,0.90,0.00,0.00,0.00,0.13,1.37,7.98,3.92,0.03
ZCTA32216,0.001849384,38073,1.34,0.18,0.18,1.42,1.23,4.68,0.76,0.60,0.00,0.00,0.32,0.29,1.08,7.12,4.31,0.21
ZCTA32566,0.001851278,38112,0.68,0.34,0.05,1.08,0.97,2.41,0.73,0.60,0.00,0.00,0.05,0.05,0.37,3.62,2.68,0.08
ZCTA33317,0.001863325,38360,0.39,0.29,0.08,0.86,1.17,2.58,0.86,0.52,0.00,0.00,0.08,0.21,0.29,3.44,2.95,0.05
ZCTA33139,0.001875274,38606,0.52,0.21,0.16,1.04,1.68,2.95,0.60,0.52,0.00,0.00,0.08,0.10,0.73,3.55,2.69,0.00
ZCTA33624,0.001875857,38618,0.88,0.08,0.13,0.88,2.10,2.85,0.78,0.36,0.00,0.00,0.08,0.13,0.36,4.19,3.39,0.03
ZCTA32257,0.001877460,38651,1.24,0.31,0.21,1.53,1.81,3.83,0.93,0.65,0.00,0.00,0.31,0.16,0.72,7.76,4.04,0.10
ZCTA33604,0.001879354,38690,1.63,0.10,0.10,1.50,1.55,4.86,0.78,0.70,0.00,0.05,0.34,0.16,0.41,5.30,4.96,0.05
ZCTA34698,0.001889992,38909,1.21,0.49,0.00,1.18,3.93,6.30,1.00,0.57,0.00,0.00,0.05,0.05,11.03,5.81,4.93,0.03
ZCTA33437,0.001890575,38921,1.54,0.82,0.10,1.59,5.78,7.55,1.10,2.54,0.00,0.00,0.03,0.15,1.21,10.64,4.27,0.00
ZCTA33322,0.001896793,39049,1.18,0.64,0.00,1.46,2.77,5.69,0.61,1.46,0.00,0.05,0.10,0.26,0.54,5.48,3.59,0.05
ZCTA32955,0.001900582,39127,0.79,0.31,0.15,1.56,2.02,5.42,1.25,0.82,0.00,0.00,0.03,0.15,0.36,7.80,3.99,0.03
ZCTA34748,0.001905585,39230,1.40,0.46,0.20,4.00,4.49,7.11,1.50,1.33,0.00,0.03,0.38,0.23,0.59,12.36,8.08,0.18
ZCTA32810,0.001913065,39384,0.99,0.41,0.13,1.35,0.91,2.74,1.07,0.46,0.00,0.03,0.28,0.10,0.38,2.59,3.30,0.08
ZCTA34655,0.001913114,39385,1.19,0.43,0.13,1.88,3.35,5.94,1.07,0.96,0.00,0.03,0.08,0.20,2.46,6.88,4.57,0.00
ZCTA32940,0.001913648,39396,0.94,0.23,0.18,1.47,2.74,5.33,0.91,1.37,0.00,0.00,0.10,0.03,0.79,9.09,3.12,0.00
ZCTA34208,0.001920546,39538,0.91,0.20,0.10,1.21,1.82,3.54,0.78,0.83,0.00,0.00,0.23,0.20,0.66,4.63,4.78,0.10
ZCTA33619,0.001930698,39747,0.91,0.05,0.13,0.83,0.86,3.37,0.68,0.53,0.00,0.00,0.35,0.10,0.43,3.60,4.05,0.15
ZCTA33135,0.001932738,39789,0.93,0.35,0.05,1.96,2.34,3.72,0.73,0.58,0.00,0.00,0.13,0.13,0.35,3.87,2.34,0.00
ZCTA33071,0.001935167,39839,0.53,0.25,0.08,0.53,0.88,1.66,0.23,0.63,0.00,0.00,0.10,0.08,0.08,1.91,2.13,0.03
ZCTA34759,0.001935701,39850,0.58,0.30,0.08,0.90,0.98,2.16,0.60,0.63,0.00,0.00,0.08,0.15,0.38,3.31,2.46,0.03
ZCTA33433,0.001940753,39954,1.38,0.55,0.13,0.83,4.96,5.63,0.73,1.70,0.00,0.03,0.05,0.10,1.18,9.11,4.61,0.00
ZCTA33141,0.001943230,40005,0.57,0.17,0.05,0.52,1.35,3.05,0.42,0.37,0.00,0.00,0.07,0.02,0.27,3.20,1.92,0.05
ZCTA32404,0.001944396,40029,1.30,2.47,0.10,2.15,2.67,5.57,0.95,1.15,0.00,0.07,0.15,0.17,0.55,4.97,3.97,0.10
ZCTA34952,0.001946047,40063,1.47,0.52,0.10,2.75,5.22,9.53,1.57,0.87,0.00,0.00,0.02,0.07,0.40,8.44,4.64,0.00
ZCTA33418,0.001953917,40225,0.55,0.42,0.02,0.67,3.03,3.48,0.67,0.35,0.00,0.00,0.10,0.05,0.55,5.94,3.03,0.00
ZCTA33309,0.001987967,40926,0.68,0.24,0.07,1.15,0.93,2.57,0.76,0.83,0.00,0.05,0.15,0.07,0.24,2.98,4.10,0.07
ZCTA34758,0.001996128,41094,0.85,0.22,0.12,0.88,0.88,1.70,0.32,0.71,0.00,0.02,0.10,0.10,0.27,2.58,2.19,0.07
ZCTA33160,0.001997051,41113,1.12,0.44,0.00,1.29,2.12,3.65,0.44,0.78,0.00,0.00,0.17,0.10,0.75,5.08,1.90,0.00
ZCTA33428,0.002000743,41189,0.80,0.34,0.15,0.78,1.41,3.16,0.70,0.63,0.00,0.02,0.07,0.17,0.46,3.93,3.76,0.02
ZCTA32811,0.002003511,41246,0.82,0.19,0.10,1.16,0.61,1.79,0.41,0.95,0.00,0.00,0.68,0.17,0.19,2.67,2.96,0.00
ZCTA34609,0.002003706,41250,0.97,0.36,0.15,3.27,2.23,5.72,1.04,0.56,0.00,0.00,0.02,0.17,4.27,7.15,4.41,0.05
ZCTA33009,0.002004969,41276,1.19,0.31,0.12,1.09,1.45,3.88,0.63,0.94,0.00,0.02,0.17,0.00,0.58,4.43,3.90,0.02
ZCTA33014,0.002006911,41316,0.36,0.31,0.05,1.31,2.32,3.80,0.36,0.53,0.00,0.00,0.07,0.10,0.15,2.83,1.96,0.00
ZCTA33880,0.002008369,41346,1.33,0.29,0.02,1.64,1.43,5.39,1.02,0.68,0.00,0.00,0.22,0.12,0.48,5.25,4.09,0.15
ZCTA33169,0.002017064,41525,0.77,0.19,0.19,2.10,1.04,2.53,0.63,0.51,0.00,0.02,0.34,0.29,0.22,3.06,2.79,0.12
ZCTA32935,0.002018278,41550,1.16,0.51,0.14,1.66,1.95,6.50,1.54,1.01,0.00,0.02,0.26,0.12,0.55,7.53,6.02,0.05
ZCTA33134,0.002033385,41861,0.69,0.21,0.07,1.07,2.82,3.42,0.74,0.69,0.00,0.00,0.05,0.10,0.38,4.56,1.65,0.00
ZCTA32073,0.002033482,41863,1.07,0.36,0.10,1.74,1.67,5.85,0.88,0.96,0.00,0.00,0.14,0.05,0.62,8.29,4.97,0.07
ZCTA34983,0.002075936,42737,0.98,0.26,0.09,1.50,1.66,4.17,0.98,0.87,0.00,0.00,0.07,0.21,0.30,4.31,3.84,0.05
ZCTA33172,0.002092743,43083,0.56,0.26,0.00,1.02,1.76,2.48,0.35,0.37,0.00,0.00,0.12,0.09,0.14,2.74,1.62,0.00
ZCTA32746,0.002099981,43232,0.74,0.30,0.05,1.20,1.78,3.17,0.53,0.67,0.00,0.02,0.19,0.19,0.37,3.49,2.96,0.07
