ZCTA,PERCENT_TOTAL,POPULATION,A00_B99_R1000,Benign_R1000,D50_D64_R1000,E00_E99_R1000,G00_G99_R1000,J00_J99_R1000,K00_K99_R1000,N00_N99_R1000,O00_O07_R1000,O10_O99_R1000,P00_P99_R1000,Q00_Q99_R1000,Abnormal_R1000,Residual_R1000,V01_Y89_R1000,SIDS_R1000
ZCTA34476,0.001100945,22665,0.84,0.57,0.09,2.96,5.96,8.21,1.28,0.71,0.00,0.04,0.00,0.22,1.59,6.44,5.87,0.04
ZCTA33634,0.001104248,22733,0.97,0.22,0.04,0.92,1.50,2.42,0.53,0.53,0.00,0.00,0.26,0.18,0.57,4.62,3.30,0.04
ZCTA33558,0.001109591,22843,0.66,0.04,0.09,0.57,1.88,2.32,0.88,0.57,0.00,0.00,0.18,0.00,0.96,3.68,3.15,0.00
ZCTA33556,0.001116149,22978,0.70,0.26,0.09,1.04,2.09,3.18,0.65,0.57,0.00,0.04,0.13,0.04,1.26,3.26,3.57,0.04
ZCTA34654,0.001118238,23021,1.82,0.35,0.22,1.91,2.39,6.95,1.00,0.74,0.00,0.00,0.04,0.13,3.00,5.39,5.47,0.04
ZCTA33782,0.001119744,23052,1.43,0.30,0.13,2.34,2.60,7.85,1.56,1.34,0.00,0.04,0.09,0.09,4.60,7.55,4.82,0.00
ZCTA34957,0.001121006,23078,0.91,0.78,0.09,1.39,4.07,7.11,1.60,0.69,0.00,0.00,0.00,0.17,0.95,6.93,4.42,0.04
ZCTA32504,0.001121104,23080,1.17,0.30,0.00,1.39,3.94,5.50,0.87,1.52,0.00,0.00,0.26,0.30,0.74,7.80,3.68,0.09
ZCTA32763,0.001121978,23098,1.04,0.43,0.13,2.77,3.38,7.71,1.34,1.00,0.00,0.04,0.17,0.13,0.56,8.23,4.59,0.13
ZCTA33426,0.001124747,23155,0.86,0.69,0.00,1.08,3.63,5.40,0.82,0.78,0.00,0.00,0.09,0.13,0.69,7.77,4.10,0.00
ZCTA33034,0.001130867,23281,0.73,0.17,0.00,1.72,0.52,1.72,0.56,0.69,0.00,0.00,0.17,0.13,0.17,2.75,4.04,0.04
ZCTA32905,0.001136405,23395,1.24,0.43,0.13,2.31,2.78,7.35,2.18,0.98,0.00,0.00,0.17,0.17,0.68,9.02,6.75,0.13
ZCTA34652,0.001137085,23409,1.92,0.34,0.09,3.67,3.67,10.00,1.20,1.62,0.00,0.04,0.21,0.26,3.46,8.42,8.67,0.04
ZCTA32536,0.001137910,23426,0.77,0.13,0.04,2.31,1.75,3.76,0.77,0.94,0.00,0.00,0.17,0.30,0.73,4.23,3.20,0.04
ZCTA33916,0.001138493,23438,0.38,0.09,0.17,1.79,0.94,2.77,0.68,0.55,0.00,0.00,0.68,0.17,0.17,4.27,5.25,0.13
ZCTA34202,0.001153114,23739,0.51,0.21,0.00,0.51,2.06,2.32,0.21,0.42,0.00,0.00,0.04,0.08,0.67,4.68,3.16,0.00
ZCTA33327,0.001154232,23762,0.21,0.08,0.00,0.17,0.76,0.93,0.08,0.13,0.00,0.00,0.04,0.08,0.04,0.84,1.30,0.00
ZCTA32606,0.001154426,23766,0.76,0.25,0.04,1.01,2.82,3.70,0.80,0.42,0.00,0.04,0.25,0.34,2.06,9.00,3.03,0.04
ZCTA32060,0.001154523,23768,1.18,0.29,0.08,1.77,1.51,6.31,1.05,0.59,0.00,0.00,0.21,0.17,0.84,6.14,3.74,0.08
ZCTA33444,0.001154620,23770,0.72,0.04,0.13,1.35,1.18,2.52,1.26,1.22,0.00,0.04,0.13,0.04,0.29,3.49,4.96,0.08
ZCTA33936,0.001155446,23787,1.30,0.17,0.04,2.61,2.48,6.05,1.26,0.59,0.00,0.00,0.29,0.13,0.38,6.60,5.51,0.13
ZCTA34219,0.001155689,23792,0.92,0.29,0.08,0.88,1.68,3.36,0.80,0.42,0.00,0.00,0.13,0.13,0.67,3.74,3.70,0.00
ZCTA33607,0.001156709,23813,1.55,0.17,0.08,2.35,3.32,4.16,0.63,1.18,0.00,0.04,0.42,0.13,0.46,6.38,4.87,0.00
ZCTA33913,0.001156855,23816,0.42,0.17,0.00,0.63,1.05,2.27,0.38,0.21,0.00,0.00,0.04,0.00,0.46,2.52,2.02,0.04
ZCTA33137,0.001164092,23965,0.63,0.21,0.00,0.96,3.46,2.67,0.29,0.29,0.00,0.00,0.13,0.17,0.42,3.84,2.17,0.04
ZCTA34110,0.001166181,24008,0.58,0.17,0.12,1.50,6.04,6.58,1.04,0.42,0.00,0.00,0.04,0.12,0.92,7.50,4.83,0.04
ZCTA32223,0.001167687,24039,0.50,0.33,0.04,1.16,1.75,3.33,0.67,0.79,0.00,0.00,0.08,0.12,0.46,5.82,4.49,0.00
ZCTA34104,0.001171670,24121,0.79,0.29,0.04,0.87,3.73,3.90,1.04,0.41,0.00,0.00,0.21,0.21,0.62,5.14,4.39,0.04
